片区,总价(万元),小区,朝向,面积
东城,1299,东花市北里西区,2室2厅,133.21
东城,1490,花市枣苑一期,3室2厅,146.06
东城,550,天坛东路64号,2室1厅,54.76
东城,1130,交道口东大街,2室1厅,72.57
东城,471,天坛东里中区,2室1厅,48.56
东城,1375,国瑞城中区,4室2厅,122.8
东城,550,悠胜美苑,1室1厅,65.55
东城,375,天坛东里中区,1室1厅,33.47
东城,1038,新景家园东区,2室2厅,77.85
东城,2200,冠城名敦道B区,3室1厅,174.97
东城,596,安德路55号院,2室1厅,56.69
东城,728,西革新里112号院,2室1厅,91.06
东城,568,龙潭西里,2室1厅,50.44
东城,1280,豆瓣胡同,3室1厅,86.1
东城,666,建予园,2室1厅,83.71
东城,870,法华南里,2室2厅,80.85
东城,2700,安馨园,6室2厅,311.87
东城,670,金鱼池西区,2室1厅,61.48
东城,1190,菊儿胡同,4室1厅,92.35
东城,876,新景家园东区,2室1厅,79.93
东城,1040,东直门内北小街8号院,3室1厅,90.76
东城,2050,上龙西里,3室2厅,187.66
东城,425,三元街甲19号院,2室1厅,52.93
东城,1249,太华公寓,3室1厅,231.13
东城,2190,阳光都市,4室1厅,240.55
东城,715,东皇城根南街,2室1厅,52.96
东城,579,胡家园小区,2室1厅,54.97
东城,950,豆瓣胡同,2室1厅,70.83
东城,748,西青年沟,2室1厅,59.39
东城,750,东直门内大街,2室1厅,64.89
东城,525,中国强胡同,2室1厅,51.4
东城,430,李村南里,1室1厅,41.97
东城,1035,巷上嘉园,2室1厅,90.52
东城,769,和平里四区,3室1厅,56.91
东城,758,金鱼池中区,2室1厅,72.85
东城,580,左安浦园,1室1厅,60.8
东城,698,前门东大街7号,2室1厅,60.92
东城,500,天坛东里南区,2室1厅,47.17
东城,980,大羊宜宾胡同33号院,3室1厅,84.14
东城,715,夕照寺中街,2室1厅,61.26
东城,709,永康胡同1号院,1室1厅,47.26
东城,688,和平里七区,2室1厅,50.65
东城,370,西革新里110号院,1室1厅,42.32
东城,730,民旺园,3室1厅,56.64
东城,515,景泰西里西区,1室1厅,61.0
东城,640,北河沿大街,2室1厅,53.03
东城,1009,民安小区东扬威街,3室1厅,104.67
东城,1130,小黄庄一区,3室1厅,90.28
东城,1100,丽水湾畔家园,2室1厅,130.0
东城,440,复康南里,2室1厅,47.55
东城,460,西革新里108号院,2室1厅,56.48
东城,830,华龙美晟,2室1厅,95.88
东城,1065,车辇店胡同,3室1厅,85.26
东城,598,天坛东路64号,3室1厅,57.41
东城,635,新景家园东区,1室1厅,59.39
东城,1410,水上华城,2室1厅,117.66
东城,595,龙潭北里,2室1厅,59.3
东城,1050,京城仁合,3室1厅,114.51
东城,415,兴隆都市馨园,1室0厅,27.06
东城,560,法华南里,1室1厅,46.49
东城,685,望陶园小区,2室1厅,82.42
东城,758,什锦花园胡同22号院,2室1厅,58.32
东城,1170,交道口东大街,2室1厅,92.96
东城,509,光明楼,1室1厅,43.27
东城,585,前门东大街,2室1厅,50.05
东城,880,小黄庄一区,2室1厅,70.01
东城,740,新景家园东区,1室1厅,58.05
东城,498,左安浦园,1室1厅,49.36
东城,1040,东厂北巷,3室1厅,76.97
东城,559,东四块玉南街,2室1厅,52.7
东城,940,天天家园,2室2厅,126.73
东城,858,新景家园东区,2室1厅,75.53
东城,540,白桥大街,2室1厅,56.4
东城,566,营房西街,2室1厅,57.77
东城,666,华龙美晟,2室1厅,80.77
东城,980,黄寺大街2号院,3室1厅,94.69
东城,1050,京城仁合,2室1厅,121.94
东城,590,苏州胡同,2室1厅,53.61
东城,1830,新世界家园,2室1厅,132.43
东城,970,新景家园西区,3室1厅,91.32
东城,835,华龙美晟,2室1厅,91.44
东城,625,金桥国际,1室1厅,63.35
东城,750,兴隆都市馨园,2室1厅,67.61
东城,688,柏林寺西,3室1厅,56.55
东城,615,沙子口路72号,3室1厅,79.39
东城,720,忠实里,3室1厅,82.2
东城,612,广渠门内大街,2室1厅,60.38
东城,410,天坛东里中区,2室1厅,45.59
东城,998,元嘉国际公寓,2室1厅,117.2
东城,820,安定路,2室1厅,72.64
东城,505,兴隆都市馨园,1室1厅,52.82
东城,628,广渠门外南街,2室1厅,68.11
东城,798,东直门内北小街16号,1室2厅,76.3
东城,752,东直门内大街,2室1厅,71.62
东城,950,国瑞城中区,3室1厅,89.01
东城,1300,外交部街33号院,2室1厅,82.41
东城,470,富莱茵花园,2室1厅,68.62
东城,890,绿景馨园,2室1厅,85.23
东城,1200,中海紫御公馆,2室2厅,91.44
东城,870,灯市口大街,2室1厅,68.82
东城,1025,京宝花园,2室1厅,162.24
东城,820,安德路47号院,3室1厅,70.37
东城,2390,朝阳首府,4室2厅,247.09
东城,1000,永康胡同18号院,3室1厅,71.4
东城,560,安外大街,1室1厅,46.83
东城,765,本家润园C区,2室1厅,77.71
东城,495,东直门外大街(东城）,1室1厅,38.21
东城,685,安定门东大街,2室1厅,56.11
东城,1185,林调社区,3室1厅,85.42
